Season,SeasonType,Day,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,HomeWin
2024,1,2023-10-24T00:00:00,DEN,LAL,119.0,107.0,1
2024,1,2023-10-24T00:00:00,GS,PHO,104.0,108.0,0
2024,1,2023-10-25T00:00:00,CHA,ATL,116.0,110.0,1
2024,1,2023-10-25T00:00:00,IND,WAS,143.0,120.0,1
2024,1,2023-10-25T00:00:00,NY,BOS,104.0,108.0,0
2024,1,2023-10-25T00:00:00,ORL,HOU,116.0,86.0,1
2024,1,2023-10-25T00:00:00,BKN,CLE,113.0,114.0,0
2024,1,2023-10-25T00:00:00,MIA,DET,103.0,102.0,1
2024,1,2023-10-25T00:00:00,TOR,MIN,97.0,94.0,1
2024,1,2023-10-25T00:00:00,CHI,OKC,104.0,124.0,0
2024,1,2023-10-25T00:00:00,MEM,NO,104.0,111.0,0
2024,1,2023-10-25T00:00:00,UTA,SAC,114.0,130.0,0
2024,1,2023-10-25T00:00:00,SA,DAL,119.0,126.0,0
2024,1,2023-10-25T00:00:00,LAC,POR,123.0,111.0,1
2024,1,2023-10-26T00:00:00,MIL,PHI,118.0,117.0,1
2024,1,2023-10-26T00:00:00,LAL,PHO,100.0,95.0,1
2024,1,2023-10-27T00:00:00,CHA,DET,99.0,111.0,0
2024,1,2023-10-27T00:00:00,MEM,DEN,104.0,108.0,0
2024,1,2023-10-27T00:00:00,ATL,NY,120.0,126.0,0
2024,1,2023-10-27T00:00:00,BOS,MIA,119.0,111.0,1
2024,1,2023-10-27T00:00:00,CLE,OKC,105.0,108.0,0
2024,1,2023-10-27T00:00:00,CHI,TOR,104.0,103.0,1
2024,1,2023-10-27T00:00:00,SA,HOU,126.0,122.0,1
2024,1,2023-10-27T00:00:00,DAL,BKN,125.0,120.0,1
2024,1,2023-10-27T00:00:00,UTA,LAC,120.0,118.0,1
2024,1,2023-10-27T00:00:00,POR,ORL,97.0,102.0,0
2024,1,2023-10-27T00:00:00,SAC,GS,114.0,122.0,0
2024,1,2023-10-28T00:00:00,DET,CHI,118.0,102.0,1
2024,1,2023-10-28T00:00:00,NO,NY,96.0,87.0,1
2024,1,2023-10-28T00:00:00,WAS,MEM,113.0,106.0,1
2024,1,2023-10-28T00:00:00,CLE,IND,113.0,125.0,0
2024,1,2023-10-28T00:00:00,TOR,PHI,107.0,114.0,0
2024,1,2023-10-28T00:00:00,MIN,MIA,106.0,90.0,1
2024,1,2023-10-28T00:00:00,PHO,UTA,126.0,104.0,1
2024,1,2023-10-29T00:00:00,OKC,DEN,95.0,128.0,0
2024,1,2023-10-29T00:00:00,HOU,GS,95.0,106.0,0
2024,1,2023-10-29T00:00:00,MIL,ATL,110.0,127.0,0
2024,1,2023-10-29T00:00:00,PHI,POR,126.0,98.0,1
2024,1,2023-10-29T00:00:00,LAC,SA,123.0,83.0,1
2024,1,2023-10-29T00:00:00,SAC,LAL,132.0,127.0,1
2024,1,2023-10-30T00:00:00,CHA,BKN,121.0,133.0,0
2024,1,2023-10-30T00:00:00,IND,CHI,105.0,112.0,0
2024,1,2023-10-30T00:00:00,WAS,BOS,107.0,126.0,0
2024,1,2023-10-30T00:00:00,ATL,MIN,127.0,113.0,1
2024,1,2023-10-30T00:00:00,TOR,POR,91.0,99.0,0
2024,1,2023-10-30T00:00:00,MEM,DAL,110.0,125.0,0
2024,1,2023-10-30T00:00:00,MIL,MIA,122.0,114.0,1
2024,1,2023-10-30T00:00:00,NO,GS,102.0,130.0,0
2024,1,2023-10-30T00:00:00,OKC,DET,124.0,112.0,1
2024,1,2023-10-30T00:00:00,DEN,UTA,110.0,102.0,1
2024,1,2023-10-30T00:00:00,LAL,ORL,106.0,103.0,1
2024,1,2023-10-31T00:00:00,CLE,NY,91.0,109.0,0
2024,1,2023-10-31T00:00:00,PHO,SA,114.0,115.0,0
2024,1,2023-10-31T00:00:00,LAC,ORL,118.0,102.0,1
2024,1,2023-11-01T00:00:00,DET,POR,101.0,110.0,0
2024,1,2023-11-01T00:00:00,TOR,MIL,130.0,111.0,1
2024,1,2023-11-01T00:00:00,ATL,WAS,130.0,121.0,1
2024,1,2023-11-01T00:00:00,BOS,IND,155.0,104.0,1
2024,1,2023-11-01T00:00:00,MIA,BKN,105.0,109.0,0
2024,1,2023-11-01T00:00:00,NY,CLE,89.0,95.0,0
2024,1,2023-11-01T00:00:00,OKC,NO,106.0,110.0,0
2024,1,2023-11-01T00:00:00,HOU,CHA,128.0,119.0,1
2024,1,2023-11-01T00:00:00,MIN,DEN,110.0,89.0,1
2024,1,2023-11-01T00:00:00,DAL,CHI,114.0,105.0,1
2024,1,2023-11-01T00:00:00,UTA,MEM,133.0,109.0,1
2024,1,2023-11-01T00:00:00,GS,SAC,102.0,101.0,1
2024,1,2023-11-01T00:00:00,LAL,LAC,130.0,125.0,1
2024,1,2023-11-02T00:00:00,PHI,TOR,114.0,99.0,1
2024,1,2023-11-02T00:00:00,NO,DET,125.0,116.0,1
2024,1,2023-11-02T00:00:00,UTA,ORL,113.0,115.0,0
2024,1,2023-11-02T00:00:00,PHO,SA,121.0,132.0,0
2024,1,2023-11-03T00:00:00,IND,CLE,121.0,116.0,1
2024,1,2023-11-03T00:00:00,MIL,NY,110.0,105.0,1
2024,1,2023-11-03T00:00:00,CHI,BKN,107.0,109.0,0
2024,1,2023-11-03T00:00:00,MIA,WAS,121.0,114.0,1
2024,1,2023-11-03T00:00:00,OKC,GS,139.0,141.0,0
