,Season,SeasonType,Day,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,HomeWin,HomeMoneyLine,AwayMoneyLine
0,2024,1,2023-10-24T00:00:00,DEN,LAL,119.0,107.0,1,-240,200
1,2024,1,2023-10-24T00:00:00,GS,PHO,104.0,108.0,0,-185,155
2,2024,1,2023-10-25T00:00:00,CHA,ATL,116.0,110.0,1,233,-282
3,2024,1,2023-10-25T00:00:00,IND,WAS,143.0,120.0,1,-298,248
4,2024,1,2023-10-25T00:00:00,NY,BOS,104.0,108.0,0,233,-282
5,2024,1,2023-10-25T00:00:00,ORL,HOU,116.0,86.0,1,-298,248
6,2024,1,2023-10-25T00:00:00,BKN,CLE,113.0,114.0,0,169,-201
7,2024,1,2023-10-25T00:00:00,MIA,DET,103.0,102.0,1,-756,579
8,2024,1,2023-10-25T00:00:00,TOR,MIN,97.0,94.0,1,-185,-169
9,2024,1,2023-10-25T00:00:00,CHI,OKC,104.0,124.0,0,-217,183
10,2024,1,2023-10-25T00:00:00,MEM,NO,104.0,111.0,0,-190,-164
11,2024,1,2023-10-25T00:00:00,UTA,SAC,114.0,130.0,0,169,-201
12,2024,1,2023-10-25T00:00:00,SA,DAL,119.0,126.0,0,257,-309
13,2024,1,2023-10-25T00:00:00,LAC,POR,123.0,111.0,1,-708,547
14,2024,1,2023-10-26T00:00:00,MIL,PHI,118.0,117.0,1,-293,239
15,2024,1,2023-10-26T00:00:00,LAL,PHO,100.0,95.0,1,-293,239
16,2024,1,2023-10-27T00:00:00,CHA,DET,99.0,111.0,0,-246,205
17,2024,1,2023-10-27T00:00:00,MEM,DEN,104.0,108.0,0,253,-307
18,2024,1,2023-10-27T00:00:00,ATL,NY,120.0,126.0,0,-143,-157
19,2024,1,2023-10-27T00:00:00,BOS,MIA,119.0,111.0,1,-512,403
20,2024,1,2023-10-27T00:00:00,CLE,OKC,105.0,108.0,0,-184,156
21,2024,1,2023-10-27T00:00:00,CHI,TOR,104.0,103.0,1,-184,156
22,2024,1,2023-10-27T00:00:00,SA,HOU,126.0,122.0,1,-212,178
23,2024,1,2023-10-27T00:00:00,DAL,BKN,125.0,120.0,1,-325,266
24,2024,1,2023-10-27T00:00:00,UTA,LAC,120.0,118.0,1,198,-239
25,2024,1,2023-10-27T00:00:00,POR,ORL,97.0,102.0,0,194,-232
26,2024,1,2023-10-27T00:00:00,SAC,GS,114.0,122.0,0,-221,186
27,2024,1,2023-10-28T00:00:00,DET,CHI,118.0,102.0,1,168,-199
28,2024,1,2023-10-28T00:00:00,NO,NY,96.0,87.0,1,-217,182
29,2024,1,2023-10-28T00:00:00,WAS,MEM,113.0,106.0,1,-151,-157
30,2024,1,2023-10-28T00:00:00,CLE,IND,113.0,125.0,0,215,-259
31,2024,1,2023-10-28T00:00:00,TOR,PHI,107.0,114.0,0,229,-277
32,2024,1,2023-10-28T00:00:00,MIN,MIA,106.0,90.0,1,-475,377
33,2024,1,2023-10-28T00:00:00,PHO,UTA,126.0,104.0,1,-305,252
34,2024,1,2023-10-29T00:00:00,OKC,DEN,95.0,128.0,0,180,-213
35,2024,1,2023-10-29T00:00:00,HOU,GS,95.0,106.0,0,282,-346
36,2024,1,2023-10-29T00:00:00,MIL,ATL,110.0,127.0,0,-314,257
37,2024,1,2023-10-29T00:00:00,PHI,POR,126.0,98.0,1,-565,436
38,2024,1,2023-10-29T00:00:00,LAC,SA,123.0,83.0,1,-507,398
39,2024,1,2023-10-29T00:00:00,SAC,LAL,132.0,127.0,1,-167,141
40,2024,1,2023-10-30T00:00:00,CHA,BKN,121.0,133.0,0,-177,-194
41,2024,1,2023-10-30T00:00:00,IND,CHI,105.0,112.0,0,-261,219
42,2024,1,2023-10-30T00:00:00,WAS,BOS,107.0,126.0,0,657,-876
43,2024,1,2023-10-30T00:00:00,ATL,MIN,127.0,113.0,1,192,-227
44,2024,1,2023-10-30T00:00:00,TOR,POR,91.0,99.0,0,-690,539
45,2024,1,2023-10-30T00:00:00,MEM,DAL,110.0,125.0,0,-210,177
46,2024,1,2023-10-30T00:00:00,MIL,MIA,122.0,114.0,1,-502,404
47,2024,1,2023-10-30T00:00:00,NO,GS,102.0,130.0,0,-249,219
48,2024,1,2023-10-30T00:00:00,OKC,DET,124.0,112.0,1,-401,328
49,2024,1,2023-10-30T00:00:00,DEN,UTA,110.0,102.0,1,-606,480
50,2024,1,2023-10-30T00:00:00,LAL,ORL,106.0,103.0,1,-303,253
51,2024,1,2023-10-31T00:00:00,CLE,NY,91.0,109.0,0,97,-114
52,2024,1,2023-10-31T00:00:00,PHO,SA,114.0,115.0,0,-251,202
53,2024,1,2023-10-31T00:00:00,LAC,ORL,118.0,102.0,1,-220,180
54,2024,1,2023-11-01T00:00:00,DET,POR,101.0,110.0,0,-60,50
55,2024,1,2023-11-01T00:00:00,TOR,MIL,130.0,111.0,1,60,-72
