Season,SeasonType,Day,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,HomeWin
2016,1,2015-10-27T00:00:00,ATL,DET,94.0,106.0,0
2016,1,2015-10-27T00:00:00,CHI,CLE,97.0,95.0,1
2016,1,2015-10-27T00:00:00,GS,NO,111.0,95.0,1
2016,1,2015-10-28T00:00:00,ORL,WAS,87.0,88.0,0
2016,1,2015-10-28T00:00:00,BKN,CHI,100.0,115.0,0
2016,1,2015-10-28T00:00:00,BOS,PHI,112.0,95.0,1
2016,1,2015-10-28T00:00:00,DET,UTA,92.0,87.0,1
2016,1,2015-10-28T00:00:00,MIA,CHA,104.0,94.0,1
2016,1,2015-10-28T00:00:00,TOR,IND,106.0,99.0,1
2016,1,2015-10-28T00:00:00,HOU,DEN,85.0,105.0,0
2016,1,2015-10-28T00:00:00,MEM,CLE,76.0,106.0,0
2016,1,2015-10-28T00:00:00,MIL,NY,97.0,122.0,0
2016,1,2015-10-28T00:00:00,OKC,SA,112.0,106.0,1
2016,1,2015-10-28T00:00:00,PHO,DAL,95.0,111.0,0
2016,1,2015-10-28T00:00:00,POR,NO,112.0,94.0,1
2016,1,2015-10-28T00:00:00,SAC,LAC,104.0,111.0,0
2016,1,2015-10-28T00:00:00,LAL,MIN,111.0,112.0,0
2016,1,2015-10-29T00:00:00,IND,MEM,103.0,112.0,0
2016,1,2015-10-29T00:00:00,NY,ATL,101.0,112.0,0
2016,1,2015-10-29T00:00:00,LAC,DAL,104.0,88.0,1
2016,1,2015-10-30T00:00:00,CLE,MIA,102.0,92.0,1
2016,1,2015-10-30T00:00:00,ORL,OKC,136.0,139.0,0
2016,1,2015-10-30T00:00:00,PHI,UTA,71.0,99.0,0
2016,1,2015-10-30T00:00:00,BOS,TOR,103.0,113.0,0
2016,1,2015-10-30T00:00:00,DET,CHI,98.0,94.0,1
2016,1,2015-10-30T00:00:00,ATL,CHA,97.0,94.0,1
2016,1,2015-10-30T00:00:00,MIL,WAS,113.0,118.0,0
2016,1,2015-10-30T00:00:00,SA,BKN,102.0,75.0,1
2016,1,2015-10-30T00:00:00,DEN,MIN,78.0,95.0,0
2016,1,2015-10-30T00:00:00,HOU,GS,92.0,112.0,0
2016,1,2015-10-30T00:00:00,SAC,LAL,132.0,114.0,1
2016,1,2015-10-30T00:00:00,PHO,POR,110.0,92.0,1
2016,1,2015-10-31T00:00:00,IND,UTA,76.0,97.0,0
2016,1,2015-10-31T00:00:00,WAS,NY,110.0,117.0,0
2016,1,2015-10-31T00:00:00,NO,GS,120.0,134.0,0
2016,1,2015-10-31T00:00:00,MEM,BKN,101.0,91.0,1
2016,1,2015-10-31T00:00:00,POR,PHO,90.0,101.0,0
2016,1,2015-10-31T00:00:00,LAC,SAC,114.0,109.0,1
2016,1,2015-11-01T00:00:00,CHA,ATL,92.0,94.0,0
2016,1,2015-11-01T00:00:00,BOS,SA,87.0,95.0,0
2016,1,2015-11-01T00:00:00,MIA,HOU,109.0,89.0,1
2016,1,2015-11-01T00:00:00,TOR,MIL,106.0,87.0,1
2016,1,2015-11-01T00:00:00,CHI,ORL,92.0,87.0,1
2016,1,2015-11-01T00:00:00,OKC,DEN,117.0,93.0,1
2016,1,2015-11-01T00:00:00,LAL,DAL,93.0,103.0,0
2016,1,2015-11-02T00:00:00,PHI,CLE,100.0,107.0,0
2016,1,2015-11-02T00:00:00,BKN,MIL,96.0,103.0,0
2016,1,2015-11-02T00:00:00,NY,SA,84.0,94.0,0
2016,1,2015-11-02T00:00:00,HOU,OKC,110.0,105.0,1
2016,1,2015-11-02T00:00:00,MIN,POR,101.0,106.0,0
2016,1,2015-11-02T00:00:00,GS,MEM,119.0,69.0,1
2016,1,2015-11-02T00:00:00,LAC,PHO,102.0,96.0,1
2016,1,2015-11-03T00:00:00,CHA,CHI,130.0,105.0,1
2016,1,2015-11-03T00:00:00,DET,IND,82.0,94.0,0
2016,1,2015-11-03T00:00:00,MIA,ATL,92.0,98.0,0
2016,1,2015-11-03T00:00:00,NO,ORL,94.0,103.0,0
2016,1,2015-11-03T00:00:00,DAL,TOR,91.0,102.0,0
2016,1,2015-11-03T00:00:00,SAC,MEM,89.0,103.0,0
2016,1,2015-11-03T00:00:00,LAL,DEN,109.0,120.0,0
2016,1,2015-11-04T00:00:00,IND,BOS,100.0,98.0,1
2016,1,2015-11-04T00:00:00,WAS,SA,102.0,99.0,1
2016,1,2015-11-04T00:00:00,ATL,BKN,101.0,87.0,1
2016,1,2015-11-04T00:00:00,CLE,NY,96.0,86.0,1
2016,1,2015-11-04T00:00:00,HOU,ORL,119.0,114.0,1
2016,1,2015-11-04T00:00:00,MIL,PHI,91.0,87.0,1
2016,1,2015-11-04T00:00:00,OKC,TOR,98.0,103.0,0
2016,1,2015-11-04T00:00:00,PHO,SAC,118.0,97.0,1
