SeasonType,Season,Team,Wins,Losses,Possessions,FantasyPoints,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingPercentage,PlusMinus,DoubleDoubles,TripleDoubles,WinPercentage
1,2016,ATL,48,34,11915.6,25388.5,68.4,77.2,76.4,52.3,116.9,1012.3,4138.6,5150.8,3135.3,1118.3,728.6,1779.7,2342.5,12590.5,82.4,2211.1,85.1,0.0,0.5853658536585366
1,2016,BKN,21,61,11636.6,23511.9,67.6,73.5,71.8,52.6,113.0,1290.0,3902.7,5192.7,2730.7,936.1,494.2,1752.8,2203.7,12076.9,78.7,-4501.4,117.9,0.0,0.25609756097560976
1,2016,BOS,48,34,12060.1,25614.1,65.5,72.9,72.1,50.0,117.6,1418.4,4080.4,5498.7,2957.6,1122.7,519.6,1648.3,2681.4,12942.8,79.3,1963.3,80.6,2.2,0.5853658536585366
1,2016,CHA,48,34,11750.7,24729.8,65.5,74.9,71.5,54.0,117.9,1095.9,4284.9,5380.8,2654.6,889.8,653.9,1455.7,2220.1,12659.1,81.4,1664.7,65.7,4.5,0.5853658536585366
1,2016,CHI,42,40,11781.6,24682.6,65.8,72.7,69.3,55.4,117.5,1354.2,4313.3,5667.4,2791.9,739.0,701.7,1631.8,2306.7,12444.2,78.5,-903.3,115.0,8.9,0.5121951219512195
1,2016,CLE,57,25,11448.5,24493.4,68.7,78.2,76.6,54.2,111.7,1303.4,4146.1,5449.4,2778.5,822.6,473.3,1576.6,2487.3,12771.1,83.3,3672.8,137.4,6.7,0.6951219512195121
1,2016,DAL,42,40,11675.2,23987.7,66.3,74.9,73.9,51.4,118.5,1124.2,4152.0,5276.3,2708.3,836.1,453.9,1509.4,2378.3,12523.3,81.2,-185.1,89.6,2.2,0.5121951219512195
1,2016,DEN,33,49,11743.7,24451.8,66.0,73.0,72.0,50.3,114.4,1403.4,4058.0,5461.4,2774.0,909.2,589.7,1734.9,2572.4,12474.0,79.3,-1896.1,95.6,0.0,0.4024390243902439
1,2016,DET,44,38,11696.8,23892.2,65.5,73.3,71.7,51.5,99.7,1525.8,4146.1,5671.9,2379.8,855.5,453.9,1585.6,2324.6,12483.0,77.9,373.2,132.9,0.0,0.5365853658536586
1,2016,GS,73,9,12222.9,27881.3,72.7,84.1,78.8,62.1,113.9,1218.3,4434.2,5652.5,3542.9,1027.2,742.0,1820.0,2539.6,14065.6,88.5,6584.1,91.1,22.4,0.8902439024390244
1,2016,HOU,41,41,11949.6,25314.9,67.5,77.0,76.6,51.8,103.6,1388.5,3883.3,5271.8,2718.8,1225.8,640.5,1866.2,2672.5,13044.3,82.6,119.4,112.0,6.7,0.5
1,2016,IND,45,37,11882.8,24531.3,67.2,74.2,72.6,52.6,114.1,1264.6,4150.5,5415.1,2599.3,1106.3,585.3,1755.8,2450.0,12506.9,80.0,1045.1,64.2,0.0,0.5487804878048781
1,2016,LAC,53,29,11739.0,25141.1,69.4,78.2,76.6,54.3,103.3,1079.4,4069.9,5149.4,2796.4,1058.5,686.8,1516.9,2606.8,12793.5,83.0,2620.2,153.8,0.0,0.6463414634146342
1,2016,LAL,17,65,11655.4,22726.7,61.8,68.7,67.6,47.5,116.6,1315.3,3949.0,5264.3,2206.7,885.3,503.1,1594.5,2481.4,11917.1,75.8,-5852.6,65.7,2.2,0.2073170731707317
1,2016,MEM,42,40,11425.3,23701.5,65.7,71.2,70.3,49.4,116.9,1367.6,3728.0,5095.6,2533.6,1082.4,522.6,1555.7,2662.0,12132.1,78.2,-1373.6,71.7,6.7,0.5121951219512195
1,2016,MIA,48,34,11450.6,24174.8,70.2,75.8,75.8,50.3,111.1,1204.9,4196.8,5401.7,2551.5,825.6,792.8,1619.9,2242.5,12248.6,81.4,1007.8,119.4,6.7,0.5853658536585366
1,2016,MIL,33,49,11543.1,24125.5,69.7,74.5,73.9,51.4,111.5,1284.0,3819.1,5103.1,2829.2,1001.8,710.7,1793.1,2530.6,12126.1,80.2,-2560.5,104.5,13.4,0.4024390243902439
1,2016,MIN,29,53,11696.3,24254.7,69.3,74.4,74.1,50.5,118.2,1225.8,3862.4,5088.1,2860.6,979.4,559.9,1758.8,2532.1,12538.2,82.1,-2164.8,123.9,0.0,0.35365853658536583
1,2016,NO,30,52,11851.6,24222.1,66.9,74.4,72.0,53.7,115.9,1167.5,4049.0,5216.5,2714.3,945.1,510.6,1596.0,2557.5,12575.5,80.2,-2321.6,107.5,0.0,0.36585365853658536
1,2016,NY,32,50,11429.6,23561.9,65.5,72.1,70.3,51.7,120.2,1269.0,4162.5,5431.5,2511.2,697.2,695.7,1549.7,2412.7,12041.0,78.7,-1672.2,98.5,0.0,0.3902439024390244
